Document	LLM	BLEURT Score
T02n0099_merged.tsv	chatgpt4o pred	0.665
T02n0099_merged.tsv	gtrans pred	0.631
T02n0099_merged.tsv	mitra pred	0.661
T08n0246_merged.tsv	claude 3. 5 pred	0.586
T08n0246_merged.tsv	chatgpt4o pred	0.569
T08n0246_merged.tsv	gtrans pred	0.534
T08n0246_merged.tsv	mitra pred	0.59
T24n1492_merged.tsv	claude 3. 5 pred	0.606
T24n1492_merged.tsv	chatgpt4o pred	0.602
T24n1492_merged.tsv	gtrans pred	0.551
T24n1492_merged.tsv	mitra pred	0.61
T12n0374_merged.tsv	claude 3. 5 pred	0.593
T12n0374_merged.tsv	chatgpt4o pred	0.597
T12n0374_merged.tsv	gtrans pred	0.558
T12n0374_merged.tsv	mitra pred	0.597
T42n1826_merged.tsv	claude 3. 5 pred	0.51
T42n1826_merged.tsv	chatgpt4o pred	0.491
T42n1826_merged.tsv	gtrans pred	0.442
T42n1826_merged.tsv	mitra pred	0.536
T14n0450_merged.tsv	claude 3. 5 pred	0.592
T14n0450_merged.tsv	chatgpt4o pred	0.592
T14n0450_merged.tsv	gtrans pred	0.553
T14n0450_merged.tsv	mitra pred	0.593
T14n0515 Ru lai shi jiao sheng jun wang jing 如來示教勝軍王經_chn_merged.tsv	claude 3. 5 pred	0.388
T14n0515 Ru lai shi jiao sheng jun wang jing 如來示教勝軍王經_chn_merged.tsv	chatgpt4o pred	0.383
T14n0515 Ru lai shi jiao sheng jun wang jing 如來示教勝軍王經_chn_merged.tsv	gtrans pred	0.415
T14n0515 Ru lai shi jiao sheng jun wang jing 如來示教勝軍王經_chn_merged.tsv	mitra pred	0.553
T37n1762_merged.tsv	claude 3. 5 pred	0.564
T37n1762_merged.tsv	chatgpt4o pred	0.549
T37n1762_merged.tsv	gtrans pred	0.513
T37n1762_merged.tsv	mitra pred	0.567
T32n1666_merged.tsv	claude 3. 5 pred	0.584
T32n1666_merged.tsv	chatgpt4o pred	0.582
T32n1666_merged.tsv	gtrans pred	0.52
T32n1666_merged.tsv	mitra pred	0.638
T31n1610_merged.tsv	claude 3. 5 pred	0.552
T31n1610_merged.tsv	chatgpt4o pred	0.591
T31n1610_merged.tsv	gtrans pred	0.525
T31n1610_merged.tsv	mitra pred	0.588
T45n1909_merged.tsv	claude 3. 5 pred	0.541
T45n1909_merged.tsv	chatgpt4o pred	0.528
T45n1909_merged.tsv	gtrans pred	0.47
T45n1909_merged.tsv	mitra pred	0.546
T34n1725_merged.tsv	claude 3. 5 pred	0.558
T34n1725_merged.tsv	chatgpt4o pred	0.548
T34n1725_merged.tsv	gtrans pred	0.463
T34n1725_merged.tsv	mitra pred	0.578
T21n1394_merged.tsv	claude 3. 5 pred	0.577
T21n1394_merged.tsv	chatgpt4o pred	0.566
T21n1394_merged.tsv	gtrans pred	0.528
T21n1394_merged.tsv	mitra pred	0.573
T30n1568_merged.tsv	claude 3. 5 pred	0.638
T30n1568_merged.tsv	chatgpt4o pred	0.63
T30n1568_merged.tsv	gtrans pred	0.649
T30n1568_merged.tsv	mitra pred	0.621
T11n0316_merged.tsv	claude 3. 5 pred	0.619
T11n0316_merged.tsv	chatgpt4o pred	0.615
T11n0316_merged.tsv	gtrans pred	0.582
T11n0316_merged.tsv	mitra pred	0.627
